Lines: 001339
User Defined	Macro	RRECT	
Switches	Soild State	ADG41x	ADG413	x AD Quad Percision SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Switches	Soild State	ADG41x	ADG413B	x AD Quad Percision SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Switches	Soild State	ADG41x	ADG413T	x AD Quad Percision SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Switches	Soild State	ADG41x	ADG444	x AD Quad Percision SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Switches	Soild State	ADG41x	ADG444B	x AD Quad Percision SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Switches	Soild State	ADG41x	ADG444BS	x AD Quad Percision SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Switches	Soild State	ADG41x	ADG444S	x AD Quad Percision SPST Switches pkg:DIP16 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Relays	Complete	SPDT Relay	SPDTRELAY	*Generic type:relay
Relays	Complete	SPDT Relay	5VSPDT	p AC/DC relay alias:XSPDTRELAY pkg:DIP4
Relays	Complete	SPDT Relay	12VSPDT	p AC/DC relay alias:XSPDTRELAY {PULLIN=9.6 RESISTANCE=1000} pkg:DIP4
Relays	Complete	SPDT Relay	24VSPDT	p AC/DC relay alias:XSPDTRELAY {PULLIN=19.2 RESISTANCE=1500} pkg:DIP4
Relays	Complete	SPDT Relay	120VSPDT	p AC/DC relay alias:XSPDTRELAY {PULLIN=96 RESISTANCE=2000} pkg:DIP4
Relays	Contacts	SPST-NC	CONTACTS	*Generic alias:XCONTACTS
Relays	Contacts	SPST-NC	NORMAL	p Contacts alias:XCONTACTS
Relays	Contacts	SPST-NO	
Relays	Contacts	SPDT:C	
Relays	Contacts	SPDT:B	
Relays	Contacts	SPDT:A	
Relays	Coil	Solenoid	COIL	*Generic alias:XCOIL
Relays	Coil	Solenoid	5VCOIL	p AC/DC coil alias:XCOIL
Relays	Coil	Solenoid	12VCOIL	p AC/DC coil alias:XCOIL {PULLIN=9.6 RESISTANCE=1000}
Relays	Coil	Solenoid	24VCOIL	p AC/DC coil alias:XCOIL {PULLIN=19.2 RESISTANCE=1500}
Relays	Coil	Solenoid	120VCOIL	p AC/DC coil alias:XCOIL {PULLIN=96 RESISTANCE=2000}
Relays	Coil	Polar Latch	
Relays	Coil	Latch Coil	
Relays	Coil	Polar Coil	
Relays	Coil	Circle	
Relays	Coil	Rectangle	
Relays	Coil	Standard	
Digital by Number	47xx	4731	4731	*Dual 64-bit Static Shift Register - type:digital pkg:DIP14 [DVDD=14;DGND=7;](9,10,11,9,10,11,12,13,8,6,5,1,4,3,2)
Digital by Number	45xx	4585	4585	*4-bit Magnitude Comparator - type:digital pkg:DIP16 [DVDD=16;DGND=8;](15,2,7,10,14,1,9,11,4,6,5,12,3,13)
Digital by Number	45xx	4556	4556	*Dual Binary 1-of-4 Decoder/Demultiplexer - type:digital pkg:DIP16 [DVDD=16;DGND=8;](A:3,2,1,4,5,6,7)(B:13,14,15,12,11,10,9)
Digital by Number	45xx	4555	4555	*Dual Binary 1-of-4 Decoder/Demultiplexer - type:digital pkg:DIP16 [DVDD=16;DGND=8;](A:3,2,1,4,5,6,7)(B:13,14,15,12,11,10,9)
Digital by Number	45xx	4543	4543	*BCD-TO-SEVEN Segment Decoder - type:digital pkg:DIP16 [DVDD=16;DGND=8;](4,2,3,5,1,7,6,14,15,13,12,11,10,9)
Digital by Number	45xx	4539	4539	*Dual 4-channel Data Selector/Multiplexer - type:digital pkg:DIP16 [DVDD=16;DGND=8;](3,4,5,6,1,13,12,11,10,15,2,14,9,7)
Digital by Number	45xx	4532	4532	*8-bit Priority Encoder - type:digital pkg:DIP16 [DVDD=16;DGND=8;](5,4,3,2,1,13,12,11,10,15,9,7,6,14)
Digital by Number	45xx	4531	4531	*13-input Parity Checker/Generator - type:digital pkg:DIP16 [DVDD=16;DGND=8;](10,11,12,13,14,15,1,2,3,4,5,6,7,9)
Digital by Number	45xx	4526	4526	*Programmable 4-bit Binary Down Counter - type:digital pkg:DIP16 [DVDD=16;DGND=8;](2,14,11,5,3,6,4,10,13,12,7,9,15,1)
Digital by Number	45xx	4522	4522	*Programmable 4-bit BCD Down Counter - type:digital pkg:DIP16 [DVDD=16;DGND=8;](2,14,11,5,3,6,4,10,13,12,7,9,15,1)
Digital by Number	45xx	4520	4520	*Dual 4-bit Binary Counters - type:digital pkg:DIP16 [DVDD=16;DGND=8;](1,2,7,9,10,15,6,5,4,3,14,13,12,11)
